model, mutation_adaptation, igniting_coef, temp_drop_coef, start_temp, problem, problem size, best_value, best_time, best_iteration, best_ffe
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealRastriginEvaluation, 10, -39.7982563532166, 0.0010079, 892, 893, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealRastriginEvaluation, 25, -127.048216065154, 0.0035374, 993, 994, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealRastriginEvaluation, 50, -338.145461354245, 0.0065447, 997, 998, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealRastriginEvaluation, 75, -661.814476049198, 0.0086014, 997, 998, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealAckleyEvaluation, 2, -2.57992755702987, 0, 537, 538, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealAckleyEvaluation, 5, -2.81434998077206, 0.0010085, 605, 606, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealAckleyEvaluation, 10, -4.29819291290437, 0.0009935, 916, 917, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealAckleyEvaluation, 25, -6.09273297325149, 0.0035305, 999, 1000, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealAckleyEvaluation, 50, -6.58613701627451, 0.0060426, 1000, 1001, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealAckleyEvaluation, 75, -7.11953805133003, 0.0094587, 1000, 1001, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealSphereEvaluation, 2, -5.18845758339882E-37, 0.0010031, 988, 989, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealSphereEvaluation, 5, -3.44239468862584E-28, 0, 998, 999, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealSphereEvaluation, 10, -3.46723275971907E-10, 0.0010076, 1000, 1001, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealSphereEvaluation, 25, -53.2186692604794, 0.001998, 999, 1000, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealSphereEvaluation, 50, -380.873795630621, 0.0050004, 1000, 1001, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealSphereEvaluation, 75, -1888.95947070449, 0.0060013, 998, 999, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealSphere10Evaluation, 2, -5.18845758339882E-36, 0, 988, 989, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealSphere10Evaluation, 5, -3.44239468862584E-27, 0.0010003, 998, 999, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealSphere10Evaluation, 10, -3.46723275971907E-09, 0.001002, 1000, 1001, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealSphere10Evaluation, 25, -532.186692604794, 0.0019979, 999, 1000, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealSphere10Evaluation, 50, -3808.7379563062, 0.0049918, 1000, 1001, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealSphere10Evaluation, 75, -18889.5947070449, 0.0070025, 998, 999, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealEllipsoidEvaluation, 2, -2.39220566279098E-35, 0, 968, 969, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealEllipsoidEvaluation, 5, -250.96590205589, 0.0010064, 1000, 1001, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealEllipsoidEvaluation, 10, -654.110206829021, 0.0009998, 1000, 1001, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealEllipsoidEvaluation, 25, -2545.76227708919, 0.0020013, 1000, 1001, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealEllipsoidEvaluation, 50, -5256.89532115777, 0.0059912, 1000, 1001, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealEllipsoidEvaluation, 75, -9968.02025658981, 0.0060021, 1000, 1001, 
